date,new price open,new price close,t+1 new,t+2 new,t+3 new ,t+4 new ,t+5 new ,t+6 new,full price open,full price close,t+1 full,t+2 full,t+3 full,t+4 full,t+5 full,t+6 full,% change new to full ,,% change new t+1,,% new t+2,,%n t+3,,%n t+4,,%n t+5,,%n t+6,,% change Full to new,,%change full+1,,%Ft+2,,%F t+3,,%ft+4,,%ft+5,,%ft+6,
1/9/16 -1/23/16,453.38,447.61,447.99,448.43,435.69,432.37,430.31,364.33,382.43,387.5,402.97,391.73,392.15,394.97,380.29,379.47,15.51%,-170.39%,-0.08%,-2.00%,-0.18%,-6.16%,2.74%,-28.35%,3.52%,-66.37%,4.02%,-116.32%,22.86%,-94.10%,-3.66%,324.07%,3.99%,-7.28%,1.09%,1.62%,1.20%,-3.98%,1.93%,106.50%,-1.86%,81.15%,-2.07%,24.86%
2/8/16-2/22/16,376.76,373.33,376.03,381.65,379.65,384.26,391.86,407.23,438.99,437.75,420.74,424.95,424.54,432.15,432.52,433.5,-14.72%,times right 28,-0.72%,times right 30,-2.18%,t right 32,-1.66%,right 29,-2.84%,right 29,-4.73%,right 24,-8.32%,right 28,-5.43%,times right 38,-3.89%,right 37,-2.92%,right 38,-3.02%,right 41,-1.28%,right 43,-1.19%,right 35,-0.97%,right 34
3/8/16-3/23/16,414.56,413.97,414.86,417.13,421.69,411.62,414.07,416.44,418.16,418.04,416.39,417.18,417.95,426.77,424.23,416.52,-0.97%,94.65%,-0.21%,24.70%,-0.76%,36.12%,-1.83%,21.46%,0.57%,27.06%,-0.02%,14.89%,-0.59%,32.40%,1.12%,146.92%,-0.39%,-5.13%,-0.21%,0,-0.02%,6.99%,2.09%,21.94%,1.48%,39.64%,-0.36%,35.72%
4/7/16-4/22/16,423.62,422.74,420.35,419.41,421.56,422.48,425.19,423.73,449.69,445.74,450.28,458.55,461.43,466.09,444.69,449.01,-5.16%,,0.57%,,0.79%,,0.28%,,0.06%,,-0.58%,,-0.23%,,3.11%,,1.02%,,2.87%,,3.52%,,4.57%,,-0.24%,,0.73%,
5/6/16-5/21/16,447.94,459.6,458.54,458.55,460.48,450.89,452.73,454.77,442.97,443.19,439.32,444.15,445.98,449.6,453.38,473.46,3.70%,,0.23%,,0.23%,,-0.19%,,1.93%,,1.52%,,1.06%,,29.23%,,-0.87%,,0.22%,,0.63%,,1.45%,,2.30%,,6.83%,
6/4/16-6/20/16,569.71,572.73,574.98,585.54,576.6,581.65,574.63,577.47,763.93,737.23,666.65,596.12,623.98,665.3,665.12,629.37,-22.31%,,-0.39%,,-2.19%,,-0.67%,,-1.53%,,-0.33%,,-0.82%,,-7.27%,,-9.57%,,-19.14%,,-15.36%,,-9.76%,,-9.78%,,-14.63%,
7/4/16-7/19/21,658.8,683.66,670.63,677.33,640.56,666.52,650.96,649.36,672.74,672.86,665.68,665.01,650.62,655.56,661.28,654.1,1.61%,,1.94%,,0.93%,,6.73%,,2.57%,,5.02%,,5.28%,,-18.64%,,-1.07%,,-1.17%,,-3.31%,,-2.57%,,-1.72%,,-2.79%,
8/2/16-8/18/16,606.4,547.47,566.35,578.29,575.04,587.78,592.69,591.05,573.71,574.32,575.63,581.7,581.31,586.75,583.41,580.18,-4.68%,,-3.33%,,-5.33%,,-4.79%,,-6.86%,,-7.63%,,-7.37%,,-0.35%,,0.23%,,1.28%,,1.22%,,2.16%,,1.58%,,1.02%,
9/1/16-9/16/16,575.55,572.3,575.54,598.21,608.63,608.63,606.59,610.44,607.25,606.97,605.98,609.87,609.23,608.31,597.15,596.3,-5.71%,,-0.56%,,-4.33%,,-5.97%,,-5.97%,,-5.65%,,-6.25%,,0.45%,,-0.16%,,0.48%,,0.37%,,0.22%,,-1.62%,,-1.76%,
9/30/16-10/16/16,605.72,609.73,613.98,610.89,612.13,610.2,612.51,613.02,639.08,641.63,639.19,637.96,630.52,630.86,632.83,657.29,-4.97%,,-0.69%,,-0.19%,,-0.39%,,-0.08%,,-0.45%,,-0.54%,,9.39%,,-0.38%,,-0.57%,,-1.73%,,-1.68%,,-1.37%,,2.44%,
